"","tmp1","tmp2","tmp3","tmp4"
"186",2012,11,732748,9840932
"187",2012,11,732548,9841052
"188",2012,11,732608,9841264
"189",2012,11,732356,9841158
"190",2012,11,731171,9840807
"191",2012,11,729866,9839526
"192",2012,11,731087,9840672
"193",2012,11,732847,9841106
"194",2012,11,733629,9842152
"195",2012,11,732715,9841852
"196",2012,11,731291,9840598
"197",2012,11,730486,9840284
"198",2012,11,731662,9841324
"199",2012,11,732476,9841186
"200",2012,11,732324,9841148
"201",2012,11,734606,9841836
"202",2012,11,733844,9839166
"203",2012,11,732455,9840582
"204",2012,11,733306,9840804
"205",2012,11,731497,9841193
"206",2012,11,730877,9840466
"207",2012,11,731259,9840705
"208",2012,11,731171,9840807
"209",2012,11,729885,9841127
"210",2012,11,730098,9838645
"211",2012,11,753691,9836930
"212",2012,11,731171,9840807
"213",2012,11,731445,9841719
"214",2012,11,731907,9841825
"215",2012,11,732432,9842683
"216",2012,11,733085,9842140
"217",2012,11,733013,9841544
"218",2012,11,733013,9841544
"219",2012,11,732129,9840747
"220",2012,11,732038,9840270
"221",2012,11,731971,9840128
"222",2012,11,731798,9840035
"223",2012,11,733616,9842009
"224",2012,11,731930,9841827
"225",2012,11,731642,9841814
"226",2012,11,731171,9840807
"227",2012,12,731798,9840035
"228",2012,12,731971,9840128
"229",2012,12,731171,9840807
"230",2012,12,731462,9841624
"231",2012,12,731672,9841632
"232",2012,12,730408,9841830
"233",2012,12,732081,9841784
"234",2012,12,733627,9842016
"235",2012,12,732700,9841308
"236",2012,12,731971,9840128
"237",2012,12,731798,9840035
"238",2012,12,731171,9840807
"239",2012,12,734403,9841869
"240",2012,12,732191,9841226
"241",2012,12,731087,9840672
"242",2012,12,731593,9841298
"243",2012,12,731497,9841193
"244",2012,12,731243,9841369
"245",2012,12,731148,9841236
"246",2012,12,731029,9841155
"247",2012,12,731815,9841167
"248",2012,12,734959,9841694
"249",2013,1,733402,9839484
"250",2013,1,731971,9840128
"251",2013,1,731798,9840035
"252",2013,1,731171,9840807
"253",2013,1,733531,9841992
"254",2013,1,730646,9840874
"255",2013,1,732715,9842348
"256",2013,1,733106,9842233
"257",2013,1,733051,9842130
"258",2013,1,733605,9842058
"259",2013,1,731971,9840128
"260",2013,1,731087,9840672
"261",2013,1,731171,9840807
"262",2013,1,731263,9841492
"263",2013,1,731092,9841752
"264",2013,1,730843,9841742
"265",2013,1,733680,9842334
"266",2013,1,731565,9840700
"267",2013,2,731971,9840128
"268",2013,2,731798,9840035
"269",2013,2,731597,9840378
"270",2013,2,732072,9841942
"271",2013,2,731171,9840807
"272",2013,2,730916,9840639
"273",2013,2,730170,9840967
"274",2013,2,732861,9842244
"275",2013,2,730283,9838952
"276",2013,2,730170,9840967
"277",2013,2,730638,9841334
"278",2013,2,730638,9841334
"279",2013,2,730638,9841334
"280",2013,2,730207,9841226
"281",2013,2,734403,9841869
"282",2013,2,730207,9841226
"283",2013,2,730839,9839389
"284",2013,2,730926,9838905
"285",2013,2,730812,9838752
"286",2013,2,730476,9838599
"287",2013,2,730207,9841226
"288",2013,2,731859,9840928
"289",2013,2,734474,9842046
"290",2013,3,730207,9841226
"291",2013,3,730767,9841794
"292",2013,3,731333,9841117
"293",2013,3,731407,9840961
"294",2013,3,731078,9841106
"295",2013,3,730521,9841253
"296",2013,3,730387,9841285
"297",2013,3,730207,9841226
"298",2013,3,730668,9841882
"299",2013,3,731119,9841753
"300",2013,3,732401,9840309
"301",2013,3,732141,9841371
"302",2013,3,732079,9841457
"303",2013,3,732019,9841505
"304",2013,3,731462,9840808
"305",2013,3,730207,9841226
"306",2013,3,731794,9841805
"307",2013,3,732081,9841357
"308",2013,3,730506,9841124
"309",2013,3,730207,9841226
"310",2013,3,730297,9841370
"311",2013,3,730177,9840968
"312",2013,3,730207,9841226
"313",2013,3,731761,9841287
"314",2013,3,730822,9840954
"315",2013,3,730207,9841226
"316",2013,3,730170,9840967
"317",2013,3,731280,9840752
"318",2013,3,732577,9842701
"319",2013,3,733622,9842119
"320",2013,3,731497,9841193
"321",2013,3,731640,9841303
"322",2013,3,731181,9841203
"323",2013,4,732922,9842028
"324",2013,4,732317,9841804
"325",2013,4,732317,9841804
"326",2013,4,732027,9841565
"327",2013,4,731794,9841805
"328",2013,4,731174,9841698
"329",2013,4,731794,9841805
"330",2013,4,732027,9841565
"331",2013,5,732027,9841565
"332",2013,5,733662,9842203
"333",2013,5,732027,9841565
"334",2013,5,732027,9841565
"335",2013,5,732027,9841565
"336",2013,5,732361,9841418
"337",2013,5,732027,9841565
"338",2013,5,731046,9841672
"339",2013,5,733628,9842017
"340",2013,6,732027,9841565
"341",2013,6,731289,9841229
"342",2013,6,731376,9841467
"343",2013,6,730970,9841773
"344",2013,6,734776,9842806
"345",2013,6,733685,9842184
"346",2013,6,733514,9842095
"347",2013,6,732881,9842047
"348",2013,6,732420,9841973
"349",2013,6,732350,9841751
"350",2013,6,732027,9841565
"351",2013,6,731704,9841343
"352",2013,6,732109,9841894
"353",2013,6,732505,9841833
"354",2013,6,732214,9841738
"355",2013,6,732027,9841565
"356",2013,6,731155,9841700
"357",2013,6,730580,9841728
"358",2013,6,739383,9841359
"359",2013,6,730237,9841282
"360",2013,6,732027,9841565
"361",2013,6,732027,9841565
"362",2013,6,732010,9841068
"363",2013,6,732704,9840993
"364",2013,6,732193,9841814
"365",2013,6,733052,9841965
"366",2013,6,734403,9841869
"367",2013,7,732027,9841565
"368",2013,7,732027,9841565
"369",2013,7,732059,9841767
"370",2013,7,732027,9841565
"371",2013,7,732027,9841565
"372",2013,7,732115,9841281
"373",2013,7,732027,9841565
"374",2013,7,731390,9841585
"375",2013,7,732027,9841565
"376",2013,7,732204,9841102
"377",2013,7,732027,9841565
"378",2013,7,731647,9841110
"379",2013,7,730957,9841839
"380",2013,7,732027,9841565
"381",2013,7,732027,9841565
"382",2013,7,732027,9841565
"383",2013,7,732027,9841565
"384",2013,7,732337,9841684
"385",2013,7,732027,9841565
"386",2013,7,732027,9841565
"387",2013,7,732027,9841565
"388",2013,7,732027,9841565
"389",2013,7,732027,9841565
"390",2013,7,732027,9841565
"391",2013,7,732027,9841565
"392",2013,7,732027,9841565
"393",2013,7,732027,9841565
"394",2013,7,732027,9841565
"395",2013,7,732027,9841565
"396",2013,7,730309,9841226
"397",2013,7,732027,9841565
"398",2013,7,732027,9841565
"399",2013,7,732027,9841565
"400",2013,7,732027,9841565
"401",2013,7,732027,9841565
"402",2013,7,732027,9841565
"403",2013,7,731144,9843740
"404",2013,7,732027,9841565
"405",2013,7,732027,9841565
"406",2013,7,732027,9841565
"407",2013,7,732027,9841565
"408",2013,7,730882,9841790
"409",2013,7,730537,9840790
"410",2013,7,730346,9840638
"411",2013,7,731087,9840672
"412",2013,7,731263,9840726
"413",2013,7,731328,9840850
"414",2013,7,731722,9841022
"415",2013,7,732147,9841229
"416",2013,8,732027,9841565
"417",2013,8,732027,9841565
"418",2013,8,731831,9841108
"419",2013,8,731831,9841108
"420",2013,8,732104,9841445
"421",2013,8,731087,9840672
"422",2013,8,732383,9841498
"423",2013,8,732187,9841304
"424",2013,8,731831,9841108
"425",2013,8,733293,9841570
"426",2013,8,732027,9841793
"427",2013,8,730408,9841830
"428",2013,8,734403,9841869
"429",2013,8,734403,9841869
"430",2013,8,731994,9841483
"431",2013,8,731831,9841108
"432",2013,8,733443,9841933
"433",2013,8,732729,9841596
"434",2013,8,731831,9841108
"435",2013,8,731982,9840918
"436",2013,8,731831,9841108
"437",2013,8,730818,9840572
"438",2013,9,731831,9841108
"439",2013,9,731880,9841269
"440",2013,9,731542,9840961
"441",2013,9,731738,9840931
"442",2013,9,731898,9840481
"443",2013,9,731738,9840931
"444",2013,9,731463,9840319
"445",2013,9,731898,9840481
"446",2013,9,731831,9841108
"447",2013,9,731220,9840713
"448",2013,9,731319,9840592
"449",2013,9,733011,9839144
"450",2013,9,733376,9839047
"451",2013,9,731898,9840481
"452",2013,9,733663,9841963
"453",2013,9,733028,9839537
"454",2013,9,731898,9840481
"455",2013,9,733012,9839529
"456",2013,9,731898,9840481
"457",2013,9,731970,9840293
"458",2013,9,731971,9840128
"459",2013,9,731898,9840481
"460",2013,9,733271,9842092
"461",2013,9,733388,9842174
"462",2013,9,733639,9842123
"463",2013,9,733553,9842026
"464",2013,9,733028,9839537
"465",2013,9,732179,9840906
"466",2013,9,731831,9841108
"467",2013,9,732410,9841493
"468",2013,9,731831,9841108
"469",2013,9,731898,9840481
"470",2013,9,731971,9840128
"471",2013,9,733570,9842351
"472",2013,9,734513,9842803
"473",2013,10,734296,9841946
"474",2013,10,732595,9841294
"475",2013,10,731971,9840128
"476",2013,10,731880,9840352
"477",2013,10,731898,9840481
"478",2013,10,731831,9841108
"479",2013,10,730072,9841607
"480",2013,10,731497,9841193
"481",2013,10,733147,9839890
"482",2013,10,732199,9841124
"483",2013,10,732480,9840713
"484",2013,10,732191,9840842
"485",2013,10,731831,9841108
"486",2013,10,732126,9841057
"487",2013,10,734403,9841869
"488",2013,10,734659,9841936
"489",2013,10,734659,9841936
"490",2013,10,733045,9841895
"491",2013,10,731831,9841108
"492",2013,10,731898,9840481
"493",2013,10,732401,9840309
"494",2013,10,733305,9841837
"495",2013,10,732185,9841410
"496",2013,10,731831,9841108
"497",2013,10,732554,9841845
"498",2013,10,733464,9842100
"499",2013,10,732922,9842028
"500",2013,10,733570,9841993
"501",2013,10,733339,9841981
"502",2013,10,733186,9842065
"503",2013,10,732922,9842028
"504",2013,10,734157,9841926
"505",2013,10,732051,9840928
"506",2013,10,731831,9841108
"507",2013,10,733147,9842778
"508",2013,10,734659,9841936
"509",2013,10,732560,9841410
"510",2013,10,731961,9841248
"511",2013,10,731831,9841108
"512",2013,10,731898,9840481
"513",2013,10,733471,9839700
"514",2013,10,733811,9840275
"515",2013,10,731713,9843998
"516",2013,10,731697,9843832
"517",2013,10,731713,9843998
"518",2013,10,734614,9841827
"519",2013,10,734659,9841936
"520",2013,11,730089,9838620
"521",2013,11,731831,9841108
"522",2013,11,732263,9840861
"523",2013,11,733962,9842887
"524",2013,11,734403,9841869
"525",2013,11,734163,9841244
"526",2013,11,737672,9842320
"527",2013,11,733444,9841977
"528",2013,11,733680,9842334
"529",2013,11,733542,9841954
"530",2013,11,733682,9842033
"531",2013,11,733542,9841954
"532",2013,11,732572,9840110
"533",2013,11,732922,9842028
"534",2013,11,734659,9841936
"535",2013,11,735041,9842080
"536",2013,11,734659,9841936
"537",2013,11,733537,9840384
"538",2013,11,732572,9840110
"539",2013,11,732572,9840110
"540",2013,11,733720,9842139
"541",2013,11,733680,9842334
"542",2013,11,733419,9842216
"543",2013,11,734659,9841936
"544",2013,11,734381,9842520
"545",2013,11,734659,9841936
"546",2013,11,731266,9841063
"547",2013,11,730771,9841132
"548",2013,11,730638,9841334
"549",2013,11,734659,9841936
"550",2013,11,734879,9842235
"551",2013,11,734659,9841936
"552",2013,11,734814,9842509
"553",2013,11,734866,9843075
"554",2013,11,732572,9840110
"555",2013,11,734659,9841936
"556",2013,12,732572,9840110
"557",2013,12,734659,9841936
"558",2013,12,734879,9842235
"559",2013,12,735170,9842797
"560",2013,12,733117,9841960
"561",2013,12,730365,9841545
"562",2013,12,731316,9840513
"563",2013,12,734161,9842223
"564",2013,12,734659,9841936
"565",2013,12,734659,9841936
"566",2013,12,733363,9840840
"567",2013,12,733562,9840600
"568",2013,12,734697,9841608
"569",2013,12,734813,9842032
"570",2013,12,733657,9841700
"571",2013,12,732922,9842028
"572",2013,12,733657,9841700
"573",2013,12,733762,9842660
"574",2013,12,733657,9841700
"575",2013,12,733284,9841856
"576",2013,12,732880,9841835
"577",2013,12,734305,9841942
"578",2013,12,734659,9841936
"579",2013,12,734429,9841993
"580",2014,1,734659,9841936
"581",2014,1,734745,9842569
"582",2014,1,733804,9841642
"583",2014,1,733657,9841700
"584",2014,1,733413,9841906
"585",2014,1,733657,9841700
"586",2014,1,733657,9841700
"587",2014,1,733657,9841700
"588",2014,1,734517,9841934
"589",2014,1,734659,9841936
"590",2014,1,732886,9839508
"591",2014,1,733429,9841937
"592",2014,1,730974,9839917
"593",2014,1,731082,9839706
"594",2014,1,731693,9840880
"595",2014,1,733657,9841700
"596",2014,1,733446,9841902
"597",2014,1,733693,9842040
"598",2014,1,733657,9841700
"599",2014,1,733446,9841902
"600",2014,1,733657,9841700
"601",2014,1,733306,9841845
"602",2014,1,733657,9841700
"603",2014,1,732922,9842028
"604",2014,1,732500,9842078
"605",2014,1,730006,9838689
"606",2014,1,729841,9838748
"607",2014,1,732218,9841239
"608",2014,1,732212,9841149
"609",2014,1,733762,9842482
"610",2014,1,734674,9842611
"611",2014,1,733802,9842094
"612",2014,1,731087,9840672
"613",2014,1,731087,9840672
"614",2014,1,731541,9840976
"615",2014,1,733085,9839742
"616",2014,2,734520,9842160
"617",2014,2,734403,9841869
"618",2014,2,731979,9841265
"619",2014,2,732047,9841414
"620",2014,2,734656,9842041
"621",2014,2,733589,9842204
"622",2014,2,731794,9841805
"623",2014,2,731310,9841515
"624",2014,2,731496,9840926
"625",2014,2,733709,9842071
"626",2014,2,733830,9842156
"627",2014,2,734659,9841936
"628",2014,2,734967,9841907
"629",2014,2,735221,9841775
"630",2014,2,735823,9842205
"631",2014,2,735639,9842373
"632",2014,2,735071,9842723
"633",2014,2,734659,9841936
"634",2014,2,733765,9842118
"635",2014,2,731038,9841239
"636",2014,2,732471,9841831
"637",2014,2,733765,9842118
"638",2014,2,734879,9842235
"639",2014,2,735085,9841919
"640",2014,2,735209,9841879
"641",2014,2,735085,9841919
"642",2014,2,732881,9842047
"643",2014,2,734598,9843731
"644",2014,2,734620,9843832
"645",2014,2,734640,9843794
"646",2014,2,734775,9842162
"647",2014,3,734475,9842141
"648",2014,3,734946,9842484
"649",2014,3,734503,9843491
"650",2014,3,734932,9842156
"651",2014,3,734659,9841936
"652",2014,3,729994,9840402
"653",2014,3,734659,9841936
"654",2014,3,734143,9841957
"655",2014,3,733706,9842017
"656",2014,3,733684,9842199
"657",2014,3,733500,9842893
"658",2014,3,734106,9839293
"659",2014,3,733510,9842655
"660",2014,3,733500,9842893
"661",2014,3,733610,9842002
"662",2014,3,733500,9842893
"663",2014,3,733485,9842538
"664",2014,3,733500,9842893
"665",2014,3,732385,9841859
"666",2014,3,730222,9839832
"667",2014,3,734623,9841837
