SESSION,DATE,landmarkid,utme,utmn,clan
S11024,9/12/2013,Cinnabon Den (North),724199,9845574,serena n
S11040,9/16/2013,Cinnabon Den (North),724485,9845899,serena n
S13222.1,1/13/2014,Conservancy Headquarters (North),724619,9844873,serena n
S10874,8/1/2013,Conservancy Headquarters (North),724673,9844789,serena n
S10988,8/31/2013,Conservancy Headquarters (North),724698,9844804,serena n
S7991,7/12/2012,Conservancy Headquarters (North),724781,9844626,serena n
S10508,4/20/2013,Conservancy Headquarters (North),724792,9845101,serena n
S10857,6/26/2013,Conservancy Headquarters (North),724798,9844608,serena n
S10039,7/9/2013,Conservancy Headquarters (North),724800,9844604,serena n
S11354,12/16/2013,Conservancy Headquarters (North),724980,9844612,serena n
S8285,8/10/2012,Conservancy Headquarters (North),725036,9844660,serena n
S10673,6/4/2013,Conservancy Headquarters (North),725080,9844676,serena n
S7978,7/11/2012,Conservancy Headquarters (North),725109,9844676,serena n
S10390,3/13/2013,Conservancy Headquarters (North),725159,9844672,serena n
S7960,7/5/2012,Conservancy Headquarters (North),725172,9844670,serena n
S10026,7/6/2013,Conservancy Headquarters (North),725195,9844653,serena n
S10025,7/6/2013,Conservancy Headquarters (North),725195,9844653,serena n
S10312,2/23/2013,Conservancy Headquarters (North),725211,9844626,serena n
S11860,8/25/2013,Cripple Tree (South),727633,9842601,serena n
S8380,10/19/2012,Cross Junction (),720151,9855010,serena n
S8382,10/21/2012,Cross Junction (),720498,9854890,serena n
S8391,10/23/2012,Cross Junction (),721154,9855450,serena n
S8558.1,12/14/2012,Cross Junction (),721877,9855977,serena n
S10811.1,6/20/2013,Cross Junction (),721912,9855146,serena n
S10759,6/18/2013,Cross Junction (),721913,9855119,serena n
S11317,11/30/2013,Cul de sac (North),0,0,serena n
S11369,12/22/2013,Cul de sac (North),0,0,serena n
S13327,2/7/2014,Cul de sac (North),721965,9847711,serena n
S13377,2/16/2014,Cul de sac (North),722002,9847774,serena n
S13339,2/9/2014,Cul de sac (North),722016,9847883,serena n
S13520,3/12/2014,Cul de sac (North),722106,9847802,serena n
S11398,12/27/2013,Cul de sac (North),722141,9847673,serena n
S13289,1/29/2014,Cul de sac (North),722159,9847636,serena n
S13228,1/13/2014,Cul de sac (North),722206,9847529,serena n
S10811,6/20/2013,Dead Elephant Log (North),721865,9854729,serena n
S10828,6/22/2013,Dead Elephant Log (North),721881,9854533,serena n
S10838,6/24/2013,Dead Elephant Log (North),721881,9854533,serena n
S10762,6/18/2013,Dead Elephant Log (North),721891,9855163,serena n
S10822,6/21/2013,Dead Elephant Log (North),721891,9855163,serena n
S8385,10/22/2012,Dead Gun Tree (North),719616,9847452,serena n
S10033,7/7/2013,Dead Gun Tree (North),719703,9847257,serena n
S11517,2/17/2013,Decoral (South),727940,9840852,serena n
S11512,2/16/2013,Decoral (South),727947,9840914,serena n
S10150,7/29/2013,Decoral (South),728409,9840718,serena n
S14641,2/21/2014,Def Leppard Crossing (South),726868,9839782,serena n
S11514,2/16/2013,Def Leppard Crossing (South),727729,9840252,serena n
S10484,4/9/2013,DeGaulle Den (North),0,0,serena n
S10486,4/11/2013,DeGaulle Den (North),0,0,serena n
S10485,4/11/2013,DeGaulle Den (North),0,0,serena n
S10487,4/12/2013,DeGaulle Den (North),0,0,serena n
S10488,4/13/2013,DeGaulle Den (North),0,0,serena n
S10490.1,4/14/2013,DeGaulle Den (North),0,0,serena n
S10494,4/14/2013,DeGaulle Den (North),0,0,serena n
S10495,4/16/2013,DeGaulle Den (North),0,0,serena n
S10498,4/18/2013,DeGaulle Den (North),0,0,serena n
S10505,4/19/2013,DeGaulle Den (North),0,0,serena n
S10507,4/20/2013,DeGaulle Den (North),0,0,serena n
S10511,4/22/2013,DeGaulle Den (North),0,0,serena n
S10508.1,4/22/2013,DeGaulle Den (North),0,0,serena n
S10512,4/22/2013,DeGaulle Den (North),0,0,serena n
S10513,4/23/2013,DeGaulle Den (North),0,0,serena n
S10522,4/24/2013,DeGaulle Den (North),0,0,serena n
S10524,4/25/2013,DeGaulle Den (North),0,0,serena n
S10528,4/26/2013,DeGaulle Den (North),0,0,serena n
S10529,4/26/2013,DeGaulle Den (North),0,0,serena n
S10526,4/26/2013,DeGaulle Den (North),0,0,serena n
S10532,4/28/2013,DeGaulle Den (North),0,0,serena n
S10537,5/4/2013,DeGaulle Den (North),0,0,serena n
S10566.1,5/10/2013,DeGaulle Den (North),0,0,serena n
S10701,6/11/2013,DeGaulle Den (North),0,0,serena n
S10166,7/31/2013,DeGaulle Den (North),0,0,serena n
S10168,7/31/2013,DeGaulle Den (North),0,0,serena n
S10873,8/1/2013,DeGaulle Den (North),0,0,serena n
S10868.1,8/1/2013,DeGaulle Den (North),0,0,serena n
S10870,8/1/2013,DeGaulle Den (North),0,0,serena n
S10878,8/2/2013,DeGaulle Den (North),0,0,serena n
S10875,8/2/2013,DeGaulle Den (North),0,0,serena n
S10880,8/3/2013,DeGaulle Den (North),0,0,serena n
S10890,8/4/2013,DeGaulle Den (North),0,0,serena n
S10884,8/4/2013,DeGaulle Den (North),0,0,serena n
S10891,8/5/2013,DeGaulle Den (North),0,0,serena n
S10902,8/7/2013,DeGaulle Den (North),0,0,serena n
S10897,8/7/2013,DeGaulle Den (North),0,0,serena n
S10909,8/9/2013,DeGaulle Den (North),0,0,serena n
S10908,8/9/2013,DeGaulle Den (North),0,0,serena n
S10904,8/9/2013,DeGaulle Den (North),0,0,serena n
S10913,8/10/2013,DeGaulle Den (North),0,0,serena n
S10912,8/10/2013,DeGaulle Den (North),0,0,serena n
S10914,8/10/2013,DeGaulle Den (North),0,0,serena n
S10916,8/11/2013,DeGaulle Den (North),0,0,serena n
S10918,8/12/2013,DeGaulle Den (North),0,0,serena n
S10920,8/12/2013,DeGaulle Den (North),0,0,serena n
S10921,8/13/2013,DeGaulle Den (North),0,0,serena n
S10923,8/14/2013,DeGaulle Den (North),0,0,serena n
S10927,8/15/2013,DeGaulle Den (North),0,0,serena n
S10931,8/15/2013,DeGaulle Den (North),0,0,serena n
S10933,8/16/2013,DeGaulle Den (North),0,0,serena n
S10934,8/16/2013,DeGaulle Den (North),0,0,serena n
S10939,8/17/2013,DeGaulle Den (North),0,0,serena n
S10943,8/18/2013,DeGaulle Den (North),0,0,serena n
S10940,8/18/2013,DeGaulle Den (North),0,0,serena n
S10942,8/18/2013,DeGaulle Den (North),0,0,serena n
S10946,8/19/2013,DeGaulle Den (North),0,0,serena n
S10949,8/20/2013,DeGaulle Den (North),0,0,serena n
S10950,8/20/2013,DeGaulle Den (North),0,0,serena n
S10952,8/21/2013,DeGaulle Den (North),0,0,serena n
S10953,8/22/2013,DeGaulle Den (North),0,0,serena n
S10954,8/22/2013,DeGaulle Den (North),0,0,serena n
S10955,8/23/2013,DeGaulle Den (North),0,0,serena n
S10960,8/23/2013,DeGaulle Den (North),0,0,serena n
S10966,8/24/2013,DeGaulle Den (North),0,0,serena n
S10961,8/24/2013,DeGaulle Den (North),0,0,serena n
S10968,8/25/2013,DeGaulle Den (North),0,0,serena n
S10967,8/25/2013,DeGaulle Den (North),0,0,serena n
S10970,8/26/2013,DeGaulle Den (North),0,0,serena n
S10971,8/27/2013,DeGaulle Den (North),0,0,serena n
S10972,8/27/2013,DeGaulle Den (North),0,0,serena n
S10973,8/27/2013,DeGaulle Den (North),0,0,serena n
S10978.1,8/28/2013,DeGaulle Den (North),0,0,serena n
S10987,8/30/2013,DeGaulle Den (North),0,0,serena n
S10981,8/30/2013,DeGaulle Den (North),0,0,serena n
S10989,8/31/2013,DeGaulle Den (North),0,0,serena n
S10998,9/1/2013,DeGaulle Den (North),0,0,serena n
S10996,9/1/2013,DeGaulle Den (North),0,0,serena n
S10990,9/1/2013,DeGaulle Den (North),0,0,serena n
S11000,9/2/2013,DeGaulle Den (North),0,0,serena n
S10999,9/2/2013,DeGaulle Den (North),0,0,serena n
S13562,3/21/2014,DeGaulle Den (North),0,0,serena n
S13557.1,3/21/2014,DeGaulle Den (North),0,0,serena n
S13565,3/22/2014,DeGaulle Den (North),0,0,serena n
S13563,3/22/2014,DeGaulle Den (North),0,0,serena n
S13573,3/23/2014,DeGaulle Den (North),0,0,serena n
S13567,3/23/2014,DeGaulle Den (North),0,0,serena n
S13603,3/28/2014,DeGaulle Den (North),0,0,serena n
S10956,8/23/2013,DeGaulle Den (North),723075,9845334,serena n
S10948,8/20/2013,DeGaulle Den (North),723183,9844998,serena n
S10898,8/7/2013,DeGaulle Den (North),723399,9844900,serena n
S13604,3/29/2014,DeGaulle Den (North),723806,9844965,serena n
S13606,3/29/2014,DeGaulle Den (North),723806,9844965,serena n
S10495,4/16/2013,DeGaulle Den (North),723892,9844938,serena n
S10533,4/28/2013,DeGaulle Den (North),723898,9844940,serena n
S10879,8/2/2013,DeGaulle Den (North),724019,9844902,serena n
S10267,7/25/2013,Diablo Tree (South),727395,9840340,serena n
S10632,5/24/2013,Diagon Alley Den (North),721173,9848148,serena n
S10963,8/24/2013,Dirisha (),720994,9852572,serena n
S13498,3/9/2014,Dirisha (),721062,9852954,serena n
S13538,3/18/2014,Dirisha (),721160,9852416,serena n
S13538,3/18/2014,Dirisha (),721264,9852701,serena n
S13499,3/9/2014,Dirisha (),721285,9852934,serena n
S13570,3/23/2014,Dirisha (),721293,9853038,serena n
S10699,6/10/2013,Elephant Rock (North),0,0,serena n
S10132,7/26/2013,Elephant Rock (North),0,0,serena n
S10133.1,7/26/2013,Elephant Rock (North),0,0,serena n
S11402,12/27/2013,Elephant Rock (North),720938,9845978,serena n
S10402,3/13/2013,Elephant Rock (North),720958,9846277,serena n
S9904,1/29/2013,Elephant Rock (North),721001,9847064,serena n
S9903,1/29/2013,Elephant Rock (North),721001,9847064,serena n
S8342,9/16/2012,Elephant Rock (North),721010,9847202,serena n
S9974,2/8/2013,Elephant Rock (North),721014,9847052,serena n
S10719,6/13/2013,Elephant Rock (North),721021,9847007,serena n
S11073,9/29/2013,Elephant Rock (North),721028,9846894,serena n
S9874,1/17/2013,Elephant Rock (North),721032,9846873,serena n
S11073.1,9/29/2013,Elephant Rock (North),721249,9846466,serena n
S10930.1,8/15/2013,Elephant Rock (North),721251,9846501,serena n
S10961.2,8/11/2013,Elephant Rock (North),721298,9846421,serena n
S13483,3/5/2014,Elephant Rock (North),721344,9846386,serena n
S10133,7/26/2013,Elephant Rock (North),721388,9846766,serena n
S10133.1,7/26/2013,Elephant Rock (North),721388,9846766,serena n
S11009,9/6/2013,Elephant Rock (North),721445,9846717,serena n
S10699,6/10/2013,Elephant Rock (North),721462,9846762,serena n
S10699,6/10/2013,Elephant Rock (North),721538,9846951,serena n
S10916.1,8/11/2013,Elephant Rock (North),721661,9846769,serena n
S11071,9/29/2013,Elephant Rock (North),721692,9846640,serena n
S11035,9/15/2013,Elephant Rock (North),721745,9846586,serena n
S13204,1/6/2014,Elephant Rock (North),721790,9846658,serena n
S8428,11/7/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8436,11/8/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8446,11/10/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8448,11/10/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8451,11/11/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8461,11/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8464,11/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8458,11/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8459.1,11/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8471,11/13/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8474,11/13/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8479,11/13/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8480,11/15/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8486,11/15/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8488,11/15/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8490,11/16/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8496,11/17/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8499,11/17/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8501,11/19/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8507,11/19/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8504,11/19/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8519,11/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8520,11/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8518,11/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8513,11/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8511,11/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8522,11/22/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8526,11/22/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8531,11/24/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8536,11/26/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8543,11/27/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8547,11/28/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8557,12/1/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8559,12/4/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8562,12/5/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8564,12/7/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8568,12/10/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8571,12/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8571,12/12/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8576,12/16/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8579,12/17/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8588,12/21/2012,Emma Natal Den 2 2012 (North),0,0,serena n
S8492,7/31/2013,Emma Natal Den 2 2012 (North),0,0,serena n
S8431,7/31/2013,Emma Natal Den 2 2012 (North),0,0,serena n
S8433,7/31/2013,Emma Natal Den 2 2012 (North),0,0,serena n
S8457,11/12/2012,Emma Natal Den 2 2012 (North),71914,9847334,serena n
S8487,11/15/2012,Emma Natal Den 2 2012 (North),719538,9847062,serena n
S8571,12/12/2012,Emma Natal Den 2 2012 (North),719821,9847085,serena n
S8486,11/15/2012,Emma Natal Den 2 2012 (North),719843,9847226,serena n
S8571,12/12/2012,Emma Natal Den 2 2012 (North),719870,9847166,serena n
S8430,7/31/2013,Emma Natal Den 2 2012 (North),719920,9847637,serena n
S8459,11/12/2012,Emma Natal Den 2 2012 (North),719953,9847380,serena n
S8478,11/13/2012,Emma Natal Den 2 2012 (North),719956,9846735,serena n
S8512,11/21/2012,Emma Natal Den 2 2012 (North),719957,9847762,serena n
S9852,1/11/2013,Emma Natal Den 2 2012 (North),719961,9847353,serena n
S8512,11/21/2012,Emma Natal Den 2 2012 (North),719962,9847376,serena n
S8571,12/12/2012,Emma Natal Den 2 2012 (North),719985,9847088,serena n
S8438,11/8/2012,Emma Natal Den 2 2012 (North),719999,9847588,serena n
S8486,11/15/2012,Emma Natal Den 2 2012 (North),720040,9847252,serena n
S8527,11/22/2012,Emma Natal Den 2 2012 (North),720043,9847400,serena n
S8519,11/21/2012,Emma Natal Den 2 2012 (North),720047,9847426,serena n
S8512,11/21/2012,Emma Natal Den 2 2012 (North),720065,9847442,serena n
S8544,11/27/2012,Emma Natal Den 2 2012 (North),720071,9847852,serena n
S8489,11/16/2012,Emma Natal Den 2 2012 (North),720089,9847426,serena n
S8456,11/12/2012,Emma Natal Den 2 2012 (North),720090,9847424,serena n
S8560,12/4/2012,Emma Natal Den 2 2012 (North),720144,9847502,serena n
S8450,11/11/2012,Emma Natal Den 2 2012 (North),720165,9847482,serena n
S8548,11/28/2012,Emma Natal Den 2 2012 (North),720169,9847487,serena n
S8563,12/7/2012,Emma Natal Den 2 2012 (North),720179,9847492,serena n
S8437,11/8/2012,Emma Natal Den 2 2012 (North),720191,9847503,serena n
S8497,11/17/2012,Emma Natal Den 2 2012 (North),720293,9847455,serena n
S8500,11/17/2012,Emma Natal Den 2 2012 (North),720374,9847709,serena n
S8417,11/1/2012,Emma Natal Den 2012 (North),0,0,serena n
S8424,11/6/2012,Emma Natal Den 2012 (North),0,0,serena n
