Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
747075,9838275,TW,1,7/26/2012,2012,7,26,6:23
748415,9837764,TW,2,7/26/2012,2012,7,26,6:52
749039,9836442,TW,2,7/26/2012,2012,7,26,17:55
746269,9838353,TW,1,7/26/2012,2012,7,26,18:12
742287,9840958,FT,1,7/26/2012,2012,7,26,8:14
721834,9847328,SN,3,7/26/2012,2012,7,26,9:35
744748,9838636,TW,1,7/27/2012,2012,7,27,18:57
742577,9840849,FT,2,7/27/2012,2012,7,27,5:57
741419,9841174,FT,1,7/27/2012,2012,7,27,18:26
745536,9838556,TW,1,7/28/2012,2012,7,28,7:55
746895,9836516,TW,1,7/28/2012,2012,7,28,8:18
723522,9847278,SN,1,7/28/2012,2012,7,28,19:49
741195,9840476,FT,1,7/29/2012,2012,7,29,6:29
748846,9840331,FT,1,7/29/2012,2012,7,29,7:49
744813,9838582,TW,3,7/30/2012,2012,7,30,6:55
745450,9838556,TW,1,7/30/2012,2012,7,30,7:54
722610,9847204,SN,1,7/30/2012,2012,7,30,17:30
727209,9842004,SS,1,7/30/2012,2012,7,30,6:10
727316,9842042,SS,1,7/30/2012,2012,7,30,7:03
727105,9842368,SS,1,7/30/2012,2012,7,30,7:05
727553,9842650,SS,1,7/30/2012,2012,7,30,7:12
727185,9841364,SS,2,7/30/2012,2012,7,30,7:48
727426,9844242,SS,2,7/30/2012,2012,7,30,8:34
749908,9837570,TW,2,7/31/2012,2012,7,31,23:37
740340,9840256,FT,2,7/31/2012,2012,7,31,19:49
727944,9840680,SS,1,7/31/2012,2012,7,31,8:11
721561,9847466,SN,2,8/1/2012,2012,8,1,17:39
747292,9837536,TW,1,8/2/2012,2012,8,2,8:17
746269,9838353,TW,1,8/2/2012,2012,8,2,7:00
741325,9840418,FT,1,8/2/2012,2012,8,2,6:33
751982,9837697,TW,1,8/3/2012,2012,8,3,17:17
748222,9836706,TW,2,8/3/2012,2012,8,3,17:31
744816,9838999,TW,1,8/3/2012,2012,8,3,20:02
728347,9840748,SS,2,8/3/2012,2012,8,3,9:06
748646,9836742,TW,2,8/4/2012,2012,8,4,5:48
746265,9837236,TW,1,8/4/2012,2012,8,4,7:39
746917,9836624,TW,1,8/5/2012,2012,8,5,6:05
749045,9837076,TW,1,8/6/2012,2012,8,6,5:53
726082,9842504,SS,1,8/6/2012,2012,8,6,6:24
747977,9836641,TW,1,8/7/2012,2012,8,7,5:47
725158,9841224,SS,1,8/8/2012,2012,8,8,17:30
725305,9843366,SS,1,8/9/2012,2012,8,9,8:31
744019,9839587,TW,2,8/10/2012,2012,8,10,17:42
725036,9844660,SN,1,8/10/2012,2012,8,10,6:05
745691,9838539,TW,2,8/11/2012,2012,8,11,7:35
750701,9837805,TW,2,8/11/2012,2012,8,11,17:10
725499,9843120,SS,2,8/11/2012,2012,8,11,6:23
726361,9842466,SS,1,8/11/2012,2012,8,11,17:41
747646,9836734,TW,1,8/12/2012,2012,8,12,7:09
746530,9837867,TW,1,8/12/2012,2012,8,12,7:31
743474,9840216,TW,2,8/12/2012,2012,8,12,18:18
750705,9837805,TW,2,8/12/2012,2012,8,12,20:11
745622,9838478,TW,1,8/13/2012,2012,8,13,18:08
740467,9840287,FT,1,8/13/2012,2012,8,13,6:28
727491,9841886,SS,1,8/13/2012,2012,8,13,6:52
725319,9843084,SS,1,8/13/2012,2012,8,13,7:07
743840,9840120,TW,2,8/14/2012,2012,8,14,6:14
748610,9836574,TW,1,8/14/2012,2012,8,14,18:45
740598,9840300,FT,2,8/14/2012,2012,8,14,6:30
725305,9843366,SS,2,8/14/2012,2012,8,14,5:48
746952,9837148,TW,1,8/17/2012,2012,8,17,8:36
746952,9837148,TW,1,8/17/2012,2012,8,17,18:41
723015,9847132,SN,2,8/17/2012,2012,8,17,17:34
747083,9837084,TW,2,8/18/2012,2012,8,18,7:21
747495,9837292,TW,1,8/18/2012,2012,8,18,17:34
747634,9837096,TW,2,8/18/2012,2012,8,18,18:58
727157,9839800,SS,2,8/18/2012,2012,8,18,6:52
745541,9838590,TW,1,8/20/2012,2012,8,20,7:53
747617,9837776,TW,3,8/20/2012,2012,8,20,19:53
727948,9840986,SS,2,8/20/2012,2012,8,20,6:23
725262,9843738,SS,1,8/22/2012,2012,8,22,5:38
725455,9843178,SS,1,8/22/2012,2012,8,22,5:40
746567,9834728,TW,2,8/23/2012,2012,8,23,18:01
