"","year","month","UTME","UTMN"
"213",2012,7,748477,9838427
"214",2012,7,748477,9838427
"215",2012,7,748477,9838427
"216",2012,7,748477,9838427
"217",2012,7,748477,9838427
"218",2012,7,745931,9838490
"219",2012,7,745716,9838520
"220",2012,7,743107,9840362
"221",2012,7,744450,9840647
"222",2012,7,744636,9840774
"223",2012,7,747032,9834842
"224",2012,7,748813,9836458
"225",2012,7,748803,9836614
"226",2012,7,748702,9836684
"227",2012,7,748590,9836706
"228",2012,7,748846,9836820
"229",2012,7,748678,9836862
"230",2012,7,749138,9836959
"231",2012,7,749908,9836986
"232",2012,7,749932,9837064
"233",2012,7,750587,9837250
"234",2012,7,749002,9837320
"235",2012,7,748467,9837406
"236",2012,7,751530,9837604
"237",2012,7,748565,9837620
"238",2012,7,748647,9837716
"239",2012,7,748470,9838008
"240",2012,7,748428,9838139
"241",2012,7,748428,9838139
"242",2012,7,748428,9838139
"243",2012,7,748477,9838427
"244",2012,7,745901,9838492
"245",2012,7,745076,9833618
"246",2012,7,749398,9835622
"247",2012,7,749073,9836808
"248",2012,7,749964,9837106
"249",2012,7,748905,9837531
"250",2012,7,749775,9837582
"251",2012,7,748771,9837588
"252",2012,7,748805,9837592
"253",2012,7,751530,9837604
"254",2012,7,748565,9837620
"255",2012,7,748676,9837634
"256",2012,7,748709,9837654
"257",2012,7,748616,9837808
"258",2012,7,748310,9837824
"259",2012,7,748295,9837975
"260",2012,7,749740,9837988
"261",2012,7,748558,9838023
"262",2012,7,749914,9838139
"263",2012,7,748514,9838156
"264",2012,7,748477,9838427
"265",2012,7,748477,9838427
"266",2012,7,748477,9838427
"267",2012,7,748477,9838427
"268",2012,7,749836,9834221
"269",2012,7,747797,9836633
"270",2012,7,747660,9836700
"271",2012,7,748222,9836706
"272",2012,7,752466,9836996
"273",2012,7,749134,9837433
"274",2012,7,749180,9837466
"275",2012,7,748960,9837532
"276",2012,7,749101,9837554
"277",2012,7,748565,9837620
"278",2012,7,751982,9837697
"279",2012,7,748090,9837837
"280",2012,7,748256,9837884
"281",2012,7,748754,9837944
"282",2012,7,748499,9838034
"283",2012,7,747366,9838133
"284",2012,7,747366,9838133
"285",2012,7,748477,9838427
"286",2012,7,748477,9838427
"287",2012,7,745815,9838498
"288",2012,7,745233,9839202
"289",2012,7,743804,9840125
"290",2012,7,748453,9835078
"291",2012,7,746989,9835254
"292",2012,7,747371,9836013
"293",2012,7,747371,9836013
"294",2012,7,748856,9836132
"295",2012,7,747797,9836633
"296",2012,7,748593,9836694
"297",2012,7,748911,9836934
"298",2012,7,749690,9837031
"299",2012,7,748998,9837126
"300",2012,7,748316,9837186
"301",2012,7,749138,9837259
"302",2012,7,748467,9837406
"303",2012,7,749589,9837432
"304",2012,7,748712,9837634
"305",2012,7,745698,9837678
"306",2012,7,748626,9837706
"307",2012,7,748332,9837810
"308",2012,7,748612,9837876
"309",2012,7,748567,9837962
"310",2012,7,744395,9838300
"311",2012,7,748477,9838427
"312",2012,7,748477,9838427
"313",2012,7,744790,9838518
"314",2012,7,745815,9838526
"315",2012,7,744619,9840006
"316",2012,7,743774,9840150
"317",2012,7,749033,9836414
"318",2012,7,747466,9836471
"319",2012,7,747488,9836544
"320",2012,7,749074,9836624
"321",2012,7,748051,9836664
"322",2012,7,749059,9837071
"323",2012,7,748463,9837180
"324",2012,7,747997,9837198
"325",2012,7,749138,9837259
"326",2012,7,748674,9837587
"327",2012,7,748662,9837596
"328",2012,7,748786,9837613
"329",2012,7,748565,9837620
"330",2012,7,748565,9837620
"331",2012,7,748166,9837692
"332",2012,7,748807,9837708
