Name ,Abbrev,GPS Abbrev,Category,UTME,UTMN,Date Created,Description,Territory
Def Leppard Crossing,Def Leppard X,DEF LEP X,x,727558,9840214,4-Mar-10,"crossing to SE of Lost dens, heading to Decoral",South
DeGaulle Den,DeGaulle D,DEGL D,cd,723652,9844975,8-Nov-08,"LCS' den for a few days, near Airstrip",North
DeGaulle Den II,DeGaulle D II,DGL D2,cd,723670,9844868,29-Mar-09,cd near DeGaulle D,North
Dharma Den,Dharma D,DHARMA D,cd,725495,9840858,28-May-10,communal den in South territory,South
Diablo Tree,Diablo T,DIABLO T,t,727276,9840484,15-Jul-13,dead tree near Staff D,South
Diagon Alley Den,Diagon Alley D,DIAGON A D,cd,717949,9849283,4-Oct-10,communal den near long road to Olooloo,North
Dirisha,Dirisha,DIRISH,o,721970,9852719,21-Aug-06,,
Disappointment Den,Disappointment D,DIS DEN,cd,721449,9846717,29-Jun-08,communal den in lugga N of the Airstrip,North
Dopey Topi X,Dopey Topi X,DT X,x,716547,9839528,4-Feb-14,,HZ
Driving under the Influence Den,DUI D,DUI D,cd,716653,9846058,26-Mar-11,HZ communal den in the criminal activity series,HZ
Drunk and Disorderly Den,D and D D,D+D D,cd,717292,9844132,5-Dec-10,HZ den in the criminal activity series,HZ
Dudu Den,Dudu D,DUDU D,cd,725634,9840969,20-Dec-09,communal den near low road to Mara Bridge,South
Durmstrang Den,Durmstrang D,DURMST D,cd,719067,9851012,14-Sep-10,communal den near long road to Olooloo,North
East Swamp,E Swamp,E SWAM,x,701411,9843172,19-Aug-06,,
Effing A Crossing,Effing A X,FING A,x,723310,9840395,22-Aug-10,crossing near Western F,South
Egyptian Goose,Egyptian Goose,E G00S,wtr,718296,9839943,7-Jul-08,"Waterhole on Main Road, south of North Waterhole",HZ
Elephant Rock,Elephant R,ELE RK,o,721427,9846516,8-Jul-08,,North
Elm Street Den,Elm Street D,ELMSTD,cd,726446,9842434,3-Jun-09,communtal den 100m Southeast of Suzi Den,South
Embezzlement Den,Embezzlement D,EMBEZZ D,cd,716439,9845940,10-Mar-11,HZ communal den in the criminal activity series,HZ
Emerald City Den,EC D,EC D,cd,724085,9837941,20-Feb-09,near Munchkin Den,Oz
Emerald D,Emerald D,EMER D,cd,711302,9839307,17-Aug-08,On hill above Olare Springs,Olare
Emma Natal Den 2 2012,EMA ND2 12,EMA ND2 12,nd,719731,9847250,7-Nov-12,"Natal den used by EMA November 2012, determined by GPS data",North
Emma Natal Den 2012,EMA ND 12,EMA ND 12,nd,719768,9847218,1-Nov-12,"Natal den used by EMA November 2012, determined by GPS data",North
Enchanted Forest,Enchanted F,ENCH F,t,724465,9837038,11-Nov-08,communal den along BBC lugga,Oz
Euclea Forest,Euclea Forest,EUCLEA,t,735375,9837711,13-Aug-06,,
Euphorbia Kopje,Euphorbia Kopje,EUPHOR,t,718290,9833652,11-Oct-06,,South
Fakeout Crossing,Fakeout X,FAKEOU,x,726388,9838733,7-Jun-06,,
Fall11 H2O,Fall11 H2O,FALL11H2O,wtr,727788,9841350,16/10/11,water hole in South near Candy Bar plain,South
Fig Tree Lodge,FT Lodge,FIG T,o,743761,9841503,7-Sep-06,Not New,
Figs,Figs,FIGS,t,751477,9844569,19-Jul-08,,
Fisicamp,Fisicamp,FISI C,c,751841,9837911,13-Aug-06,,
Flapjack Den,Flapjack D,FLAPJACK D,cd,724252,9846273,28-May-13,communal den near Grits D,
Flashforward den,Flashforward D,FLASHFWD D,cd,727377,9840658,30-Mar-12,"communal den 50m from Hatch Den in South territory, in Lost series",
Flat Fig Tree,Flat Fig T,FLAT F,t,711243,9844002,26-Aug-06,,
FML Den,FML D,FML D,cd,725171,9841252,8-Oct-10,communal den in South territory,South
Foggy Den,Foggy D,FOGGYD,cd,724958,9840745,7-Nov-09,communal den near low road to Mara Bridge,South
Franks Crossing,Franks X,FRANKS,x,731561,9856179,23-Jun-06,,
Frittata Den,Frittata D ,FRIT D,cd,723884,9846260,,communal den near Benedict D on the Breakfast plain,North
Frog Pond,Frog Pond,FROG P,wtr,712672,9837823,21-Nov-08,Pond in Olare,Olare
Gatwick Den,Gatwick D,GATWIK D,cd,723631,9844750,30-Sep-08,communal den near Airstrip,North
Giant Gardenia,Giant Gardenia,GIANT,t,717820,9847597,4-Jul-06,,
Gila River Den,Gila R D,GILA D,cd,716307,9843668,6-Nov-09,communal den near burn 1 prey transect,HZ
Gila River Den II,Gila II D,GILA II D,cd,716426,9843696,11-Dec-10,HZ communal den near Gila R D,HZ
Gila River Den III,Gila III D,GILA III D,cd,716452,9843748,16-Dec-10,HZ communal den near Gila R D,HZ
Giraffe Spring,Giraffe Spring,GIRAFF,wtr,709082,9841517,6-Jun-06,,
Gettysburg Den,Gettysburg D,Gettysburg D,cd,719322,9840190,15-Jul-13,HZ communal den near Holy Grail D on the american battles plain. ,
Go Here,Go Here,GO HERE,o,726559,9840628,14-Sep-10,a passage through a rocky area that is usually covered in high grass on the plain near the Lost Series D in South,South
Gobi Crossing,Gobi X,GOBI X,x,715310,9841004,3-Nov-08,Crossing on way to Olare,
God Bless America Tree,GBA T,GBA T,t,720511,9844985,12-Sep-09,tree near the start of Burn 1,North
Goshawk Tree,Goshawk T,GOSHAW,t,735661,9826019,8-Aug-06,,
Gothenburg Den,Gothenburg D,GOTH D,cd,719679,9851370,26-Feb-11,North communal den on the northern European cities plain (N of HP dens),North
Governor's Airstrip,Governor's Airstrip,GOV AI,o,729068,9856197,23-Jun-06,,
Governors,Governors,GOV PI,c,726912,9856584,23-Jun-06,,
Grand Theft Auto Den,G Theft Auto D,G THFT A D,cd,717033,9844406,12-Sep-10,communal den near Long Gardenia T,HZ
Green Pool Crossing,Green Pool X,GREEN,x,732716,9831953,8-Aug-06,,
Grits Den,Grits D,GRITS D,cd,724180,9846138,11-Jun-11,communal den on the breakfast plain,North
Grumpy Baby Elephant Crossing,Grumpy Baby Elephant X ,Grumpy Baby X,x,716762,9840993,18-Jun-13,crossing on track to the left of 9km road ,
Gryffindor Den,Gryffindor D,GRYFFIN D,cd,719173,9851289,18-Aug-10,communal den near long road to Olooloo,North
Guca Den,Guca D,GUCA D,cd,720474,9851196,9-Mar-12,"Communal den at 290m E Malmo D, in the Northern European Cities series",North
Gypsum Tree,Gypsum T,GYPS T,t,712036,9838392,20-Nov-08,tree in Olare,Olare
Halfnest Tree,Halfnest T,HALFNE,t,723167,9835204,22-Jun-06,,
Hall and Oates Tree,Hall and Oates T,HALLNOATS,t,726985,9843402,26-May-10,tree in South territory,South
Hallelujah Den,Hallelujah D,HALLELUJ D,cd,723071,9841425,22-Aug-10,communal D near Western F,South
Hamerkop Rocks,Hamerkop Rocks,HAMMER,x,715320,9841002,6-Jun-06,,
Hanging Gardens Den,Hanging Gardens D,HANGGD,cd,724783,9841530,27-Jan-09,"communal den in south, west side of road along river, past first clump of croton",South
Happy New Year Den,Happy New Year D,HAPPY NY D,cd,719821,9847114,5-Jan-13,communal den near EMA ND 12,
Happy Umbrella Tree,Happy Umbrella T ,H Umbrella T,t,716601,9840764,9-Jun-13,,
Heath Den,Heath D,HEATH D,cd,726486,9842170,4-Jan-11,South communal den on the candy bar plain (shown to us by Brian Heath),South
Heathrow Den,Heathrow D,HEATHR D,cd,719087,9840152,9-Aug-08,communal den near Airstrip,North
Helicopter Crossing,Helicopter X,HELICO,x,738318,9843141,7-Sep-06,,
Helsinki Den,Helsinki D,HELSINKI D,cd,719644,9851282,8-Jan-11,North communal den on the northern European cities plain (N of HP dens),North
Hit and Run Den,Hit and Run D,HITNRUN D,cd,716588,9845972,10-Mar-11,HZ communal den in the criminal activity series,HZ
Hobbit Hole Den,Hobbit Hole D,HOBBIT D,cd,718517,9842766,13-Feb-10,communal den in the culvert,HZ
Hogshead Den,Hogshead D,HOGSHEAD D,cd,717723,9849485,23-Oct-10,communal den near long road to Olooloo,North
Hogwarts Den,Hogwarts D,HOGWARTS D,cd,719318,9850846,13-Sep-10,communal den near long road to Olooloo,North
Holy Grail Den,Holy Grail D,HG D,cd,719087,9840152,9-Aug-08,OJY and ARC natal den,HZ
Holy Grail Den II,Holy Grail D II,HG D2,cd,718859,9840103,18-Sep-08,OJY and ARC natal den,HZ
Holy Trinity Den,Holy Trinity D,HLY TD,cd,711568,9839465,1-Nov-08,communal den a couple hundred meters from Holy Trinity T,Olare
Holy Trinity Tree,Holy Trinity T,HLY TT,t,711792,9839440,4-Nov-08,Tree with 3 trunks in Olare,Olare
Homicide Den,Homicide D,HOMICIDE D,cd,717090,9844193,11-Sep-10,communal den near Long Gardenia T,HZ
Hopeful Rocks,Hopeful Rocks,HOPEFU,o,723373,9832012,22-Jun-06,,
Hot Tubs,Hot Tubs,HOT TUBS,wtr,719191,9842190,21-Nov-12,two (1 wtr if there's lots of water) waterholes right next to eachother; SE of Baghdad along that track.,HZ
Hufflepuff Den,Hufflepuff D,HUFFLPUF D,cd,718886,9851135,9-Sep-10,communal den near long road to Olooloo,North
Hurley Den,Hurley D,HURLEY D,cd,725185,9840831,29-Jul-10,communal den in South territory,South
Hydra Den,Hydra D,HYDRAD,cd,725559,9840851,10-Aug-09,natal den of PRO that became a communal den near the Orchid D,South
IAT Den,IAT D,IAFT D,cd,718355,9849119,21-Dec-09,communal den near short road to Olooloo,North
Ice Age Den,Ice Age D,ICEAGE D,cd,727052,9842117,30-May-09,communal den east of Suzi Dens,South
Inselberg View,Inselberg View,INSLEB,t,717041,9838432,25-Jun-06,,
Island Lugga,Island L ,ISLAND,wtr,713773,9837595,23-Nov-06,,
J Fab Den,J Fab D,JFAB D,cd,718389,9849092,,communal den near…,
Jack Bird Tree,Jack Bird T,Jack BirdT,t,719875,9851568,4-Oct-12,"Tree near visible from Budapest D. Looks exactly like Secretary Bird, so I named it",North
Jackson's Hole Den,JH D,JH D,cd,725657,9841081,5-Oct-09,communal den 160m NW Pearl D,South
Java House Den,Java House,JAVA HOUSE,nd,727353,9840692,26-Aug-12,possible natal den of Java August 2012,South
JR Crossing,JR X,JR X,x,726719,9835229,23-Nov-06,,
Juarez Den,Juarez D,JUAREZ D,cd,716375,9842579,11-Sep-09,communal den near Tijuan D,HZ
Jungle Bush,Jungle B,JUNGLE,t,722959,9833721,23-Oct-06,,
Kahana Den,Kahana D,KAHANA D,cd,727319,9840910,28-Feb-12,"communal den at 300m from Hatch den, in Lost series",South
KD Talek Camp,KD Talek,KD TAL,c,738177,9842552,22-Aug-06,,
Keekorok Lodge,Keekorok,KROCK,c,749489,9824892,25-Jun-06,Not New,
Kiboko,Kiboko,KIBOKO,c,726510,9835127,31-Jul-08,"Camp along Mara River, opposite Lookout Hill",South?
Kichwa Tembo,Kichwa Tembo,KICHWA,c,723766,9861774,5-Aug-06,,
Kinshasa Den,Kinshasa D,KINSHASA D,cd,716290,9844312,11-Feb-11,HZ communal den on the border town/river plain,HZ
Kit Kat Den,Kit Kat D,KITKAT D,cd,726433,9842488,2-Apr-11,South communal den on the candy bar plain (shown to us by Brian Heath),South
Kitty Corner,Kitty Corner,KITTYC,t,719879,9842284,4-Nov-08,southeast of North Waterhole,North
Klipspringer X,Klipspringer X,KLIP X,x,713191,9840822,6-Mar-11,Lugga crossing on Burn II prey transect,HZ
Knot Tree,Knot T,KNOT T,t,719039,9842617,12-Jul-08,"Dead tree on Main Road, near North Waterhole",North
Kolding Den,Kolding D,KOLD D,cd,720256,9851264,15-Sep-11,communal den in the Northern European Cities series,North
Krakow Den,Krakow D,Krakow D,cd,719919,9851134,17-Jul-12,communal den near Malmo D,North
Kruuk's Culvert,Kruuk's C,KRUUK,o,724529,9846377,7-Sep-08,Culvert below camp,North
Kuni Beach,Kuni Beach,KUNI BEACH,?,728652,9842728,21-Jun-10,?,
Lalalugga,Lalalugga,LALALUGGA,x,724043,9846510,26-May-10,lugga crossing near Grotto,North
Larceny Den,Larceny D,LARCENY D,cd,717242,9843722,27-Oct-10,communal den near Long Gardenia T,HZ
LBJ X,LBJ X,LBJ X,x,720116,9840087,24-Sep-08,Crossing on SST census route,HZ?
Lighthouse Den,Lighthouse D,LTHS D,cd,727206,9840510,19-Dec-10,Communal Den near Staff D,South
Lilly Pond Crossing,Lilly Pond X,LILLYP,x,722016,9833589,22-Jun-06,,
Lion Lugga,Lion L,LION L,t,720892,9848145,24-Jun-06,,
Lion Cub Culvert,Lion Cub C,LIONCUBC,o,717098,9851261,1-Sep-13,,North
Little Big Horn D,Little Big Horn D,LBH D,cd,719101,9840221,24-Jul-09,communal den 100m West of HG D,HZ
Little Crossing,Little X,LITTLX,x,735826,9826145,1-Oct-08,"Crossing on shortcut to Fisicamp road, not in Triangle",
Library of Alexandria Den,LOA D ,LOA D ,nd,724889,9841438,23-Feb-14,"natal den used by BART in Feb 2014, ancient wonders plain",South
Lobo ,Lobo,LOBO,o,739628,9778924,28-Jun-07,Not a landmark,
Locke Den,Locke D,LOCKE D,cd,725145,9840826,7-Aug-10,communal den in South territory,South
Log Cabin's Culvert,LogC C,LOGC C,o,721069,9847570,18-Sep-13,culvert south of POR X at short rd/breakfast plains rd junction,North
Lonely Tube,Lonely Tube,LNLY TUBE,o,725158,9841224,4-Feb-12,a culvert tube abandoned along the road,South
Long Gardenia Tree,Long Gardenia T,LONG G,t,717793,9844478,4-Jul-06,,
Lost Latrine,Lost Latrine,LATRIN,o,720782,9837962,29-Jun-08,Latrine near west side of Oz Valley,HZ
Lost Turtle Lugga Crossing,LTL X,LTL X,x,717865,9839722,22-Jul-11,,
Lumpy Crossing,Lumpy X,LUMPY,x,721868,9842897,5-Aug-06,,
Mag Den,Mag D,MAG D,cd,719366,9850839,13-Aug-10,communal den near long road to Olooloo,North
Magic Marsh,Magic M,MAGICMARSH,wtr,724859,9846540,4-Jun-10,marsh,North
Maji ya Ndege,Maji Ndege,MAji NDEGE,o,720930,9849994,18-Nov-11,point taken at the 'No offroading' sign  marking the southern boundary of Magi Ndege wetland on east side of short road to Oloololo,North
Malmo Den,Malmo D ,MALMO D,cd,720175,9851218,6-Feb-12,communal den close to Vaasa den in North territory,North
Mara Talek Junction,Mara Talek Junction,MARA T,o,729585,9841445,7-Jun-06,,South
Martin Darting T,Martin Darting T,MTN DART T,t,728823,9840776,21-Jul-12,tree/thicket by deoral used to drop off darted individuals in South,South
Masai Mama Tree,MM T,MM T,t,721048,9842920,6-Sep-08,Bent tree along SST census route,HZ?
Mashugana,Mashugana D,MASHUGANA D,cd,721208,9840487,8-Sep-13,Happy zebra communal den near Oy Vey Den,HZ
